,fileid,age,mlu,utterance
851,Providence/Violet/vio32.xml,29,[3.3164893617021276], nine ten eleven 
852,Providence/Violet/vio32.xml,29,[3.3164893617021276], twelve 
853,Providence/Violet/vio32.xml,29,[3.3164893617021276],     eighteen twenty 
854,Providence/Violet/vio32.xml,29,[3.3164893617021276], eighteen 
855,Providence/Violet/vio32.xml,29,[3.3164893617021276], eleven 
856,Providence/Violet/vio32.xml,29,[3.3164893617021276], twelve 
857,Providence/Violet/vio33.xml,30,[4.37910447761194], nine ten eleven 
858,Providence/Violet/vio43.xml,35,[4.235772357723577], and twelve     fifteen cars 
859,Providence/Violet/vio43.xml,35,[4.235772357723577], twelve 
860,Providence/Violet/vio43.xml,35,[4.235772357723577],     twelve     fourteen 
861,Providence/Violet/vio43.xml,35,[4.235772357723577], fourteen     no fifteen marbles yyy eleven eighteen yyy nine 
862,Providence/Violet/vio51.xml,44,[4.003787878787879], seven eight nine ten eleven twelve 
863,Providence/William/wil21.xml,27,[2.708092485549133], eleven 
864,Providence/William/wil21.xml,27,[2.708092485549133], twelve thirteen 
865,Providence/William/wil21.xml,27,[2.708092485549133], seventeen 
866,Providence/William/wil21.xml,27,[2.708092485549133], eighteen 
867,Providence/William/wil21.xml,27,[2.708092485549133], nineteen 
868,Providence/William/wil30.xml,31,[3.7311475409836063], eleven 
869,Providence/William/wil30.xml,31,[3.7311475409836063], twelve twelve pooks in a book 
870,Providence/William/wil34.xml,33,[3.2718052738336714], twelve 
871,Providence/William/wil34.xml,33,[3.2718052738336714], sixteen 
872,Providence/William/wil37.xml,36,[4.137755102040816], nineteen 
873,Providence/William/wil37.xml,36,[4.137755102040816], eighteen 
874,Sachs/n54.xml,28,[3.9305555555555554], seven eight nine eight ten twelve ten eight nine ten 
875,Sachs/n68.xml,32,[3.527083333333333], four six eight nine ten eleven twelve thirteen sixteen eighteen nineteen thirty 
876,Sachs/n71.xml,33,[4.061643835616438], eleven twelve 
877,Sachs/n76.xml,35,[4.510273972602739], one two three four five six seven eight nine ten eleven 
878,Sachs/n76.xml,35,[4.510273972602739], seven eight nine ten eleven 
