,fileid,age,mlu,utterance
151,Brown/Adam/adam16.xml,35,[3.360587002096436], fourteen clock 
152,Brown/Adam/adam17.xml,35,[3.941265060240964], zero 
153,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that zero beat you 
154,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that zero 
155,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that no zero dat that blue 
156,Brown/Adam/adam18.xml,35,[3.3260869565217392], fourteen clock fourteen clock 
157,Brown/Adam/adam18.xml,35,[3.3260869565217392], it s fourteen clock 
158,Brown/Adam/adam18.xml,35,[3.3260869565217392], fourteen clock 
159,Brown/Adam/adam18.xml,35,[3.3260869565217392], fourteen fourteen nineteen 
160,Brown/Adam/adam18.xml,35,[3.3260869565217392], fourteen clock 
161,Brown/Adam/adam18.xml,35,[3.3260869565217392], it s fourteen clock 
162,Brown/Adam/adam18.xml,35,[3.3260869565217392], sleep fourteen clock 
163,Brown/Adam/adam19.xml,36,[4.303398058252427],     come fourteen minutes 
